Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Afghanistan,2010-2022,22,7,15,0,0,0,0,0,0.466,31.81,68.18,0,31.81
Australia,2007-2022,40,25,15,0,0,0,0,0,1.666,62.5,37.5,0,62.5
Bangladesh,2007-2022,38,9,28,0,0,0,0,1,0.321,23.68,73.68,0,24.32
England,2007-2022,44,24,19,0,0,0,0,1,1.263,54.54,43.18,0,55.81
Hong Kong,2014-2016,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
India,2007-2022,44,27,15,0,0,1,0,1,1.8,61.36,34.09,0,63.95
Ireland,2009-2022,25,7,15,0,0,0,0,3,0.466,28,60,0,31.81
Kenya,2007-2007,2,0,2,0,0,0,0,0,0,0,100,0,-
Namibia,2021-2022,11,4,7,0,0,0,0,0,0.571,36.36,63.63,0,36.36
Nepal,2014-2014,3,2,1,0,0,0,0,0,2,66.66,33.33,0,66.66
Netherlands,2009-2022,23,9,13,0,0,0,0,1,0.692,39.13,56.52,0,40.9
New Zealand,2007-2022,42,23,17,0,0,0,2,0,1.352,54.76,40.47,0,57.14
Oman,2016-2021,6,2,3,0,0,0,0,1,0.666,33.33,50,0,40
Pakistan,2007-2022,47,28,18,0,0,0,1,0,1.555,59.57,38.29,0,60.63
Papua New Guinea,2021-2021,3,0,3,0,0,0,0,0,0,0,100,0,-
Scotland,2007-2022,18,5,12,0,0,0,0,1,0.416,27.77,66.66,0,29.41
South Africa,2007-2022,40,24,15,0,0,0,0,1,1.6,60,37.5,0,61.53
Sri Lanka,2007-2022,51,31,19,0,0,1,0,0,1.631,60.78,37.25,0,61.76
United Arab Emirates,2014-2022,6,1,5,0,0,0,0,0,0.2,16.66,83.33,0,16.66
West Indies,2007-2022,39,19,18,0,0,1,0,1,1.055,48.71,46.15,0,51.31
Zimbabwe,2007-2022,20,8,11,0,0,0,0,1,0.727,40,55,0,42.1
